timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,imu1_roll_deg,imu1_pitch_deg,imu1_total_tilt_deg,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,imu2_roll_deg,imu2_pitch_deg,imu2_total_tilt_deg,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:10:04.606138Z,285,1423270,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.171,1.094,10.254,0.022,-0.03,-0.023,0.18,0.16,0.24,21.06,100,24.1,73.0,0
2026-08-23T06:10:09.609816Z,286,1428270,0,-0.981,-10.827,1.373,0.25,0.44,0.51,-1.152,1.097,10.252,0.023,-0.029,-0.023,0.19,0.06,0.2,21.03,100,24.1,73.0,0
2026-08-23T06:10:14.613406Z,287,1433270,0,-0.902,-10.748,1.373,0.31,0.07,0.31,-1.178,1.087,10.266,0.023,-0.028,-0.024,0.13,0.19,0.23,21.03,100,23.8,73.0,0
2026-08-23T06:10:19.618333Z,288,1438270,0,-0.941,-10.827,1.334,0.05,0.24,0.24,-1.168,1.104,10.266,0.022,-0.028,-0.022,0.22,0.14,0.26,21.03,100,23.8,73.0,0
2026-08-23T06:10:24.606443Z,289,1443270,0,-1.02,-10.748,1.294,-0.11,0.69,0.7,-1.152,1.075,10.259,0.023,-0.03,-0.023,0.07,0.05,0.09,21.03,100,23.8,73.0,0
2026-08-23T06:10:29.600222Z,290,1448270,0,-0.981,-10.827,1.373,0.25,0.44,0.51,-1.185,1.109,10.281,0.023,-0.029,-0.023,0.24,0.22,0.33,21.03,100,23.8,73.0,0
2026-08-23T06:10:34.604340Z,291,1453274,0,-0.981,-10.905,1.412,0.4,0.4,0.57,-1.161,1.111,10.283,0.023,-0.029,-0.024,0.25,0.09,0.27,21.03,100,23.8,73.0,1
2026-08-23T06:10:39.605164Z,292,1458274,0,-0.902,-10.905,1.373,0.2,-0.0,0.2,-1.144,1.087,10.283,0.024,-0.029,-0.022,0.12,-0.0,0.12,21.03,100,23.8,73.0,1
2026-08-23T06:10:44.618383Z,293,1463289,0,-0.902,-10.827,1.373,0.25,0.03,0.25,-1.14,1.089,10.257,0.023,-0.029,-0.023,0.15,-0.01,0.15,21.03,100,23.8,73.0,0
2026-08-23T06:10:49.633510Z,294,1468289,0,-0.941,-10.866,1.373,0.23,0.22,0.31,-1.159,1.082,10.252,0.023,-0.03,-0.022,0.11,0.1,0.15,21.04,100,23.8,73.0,0
2026-08-23T06:10:54.685797Z,295,1473289,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.168,1.087,10.262,0.023,-0.028,-0.023,0.13,0.14,0.19,21.03,100,23.8,73.0,0
2026-08-23T06:10:59.659462Z,296,1478289,0,-0.941,-10.827,1.294,-0.16,0.24,0.29,-1.152,1.075,10.285,0.022,-0.029,-0.023,0.05,0.04,0.07,21.03,100,23.8,73.0,0
2026-08-23T06:11:04.637922Z,297,1483289,0,-0.941,-10.709,1.373,0.33,0.29,0.44,-1.176,1.07,10.262,0.023,-0.03,-0.023,0.04,0.18,0.19,21.03,100,23.8,73.0,0
2026-08-23T06:11:09.630663Z,298,1488289,0,-0.863,-10.787,1.334,0.08,-0.15,0.17,-1.178,1.104,10.242,0.024,-0.028,-0.022,0.24,0.21,0.31,21.45,100,24.1,73.0,0
2026-08-23T06:11:14.618451Z,299,1493289,0,-1.02,-10.748,1.294,-0.11,0.69,0.7,-1.161,1.109,10.274,0.023,-0.03,-0.023,0.25,0.09,0.26,21.03,100,24.0,73.0,0
